DocID,FilerName,MemberName,Sate,District,Year,Destination,Filing Type,Departure Date,Return Date,Travel Sponsor
500017400,Elizabeth Payne,"Tipton, Scott",CO,3,2017,"Baltimore, MD",Original,5/11/2017,5/12/2017,The Congressional Institute
500017401,Stephen Bradford,"Lewis, Jason",MN,2,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017402,Katherine Bloodgood,"Lewis, Jason",MN,2,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017403,Miles Chiotti,"Davis, Rodney",IL,13,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017404,Anna R. Vetter,"Valadao, David",CA,21,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017405,Patrick VanMeter,"Barr, Andy",KY,6,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017406,Thomas Flanagin,"Stefanik, Elise",NY,21,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017407,Darryl Blakey,"Conaway, K.",TX,11,2017,"New York, NY",Original,5/4/2017,5/5/2017,Depository Trust and Clearing Corporation
500017408,Gerald B. Leverich,"Pallone, Frank",NJ,6,2017,"Farmington, PA",Original,5/5/2017,5/6/2017,Federal Communications Bar Association
500017409,Tiffany Haverly,"Roe, David",TN,1,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017410,Jonathan Lowe,"Chabot, Steve",OH,1,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017411,Scott Hughes,"Cheney, Liz",WY,0,2017,"Baltimore, MD",Original,5/11/2017,5/12/2017,The Congressional Institute
500017412,Patrick Pelletier,"Mitchell, Paul",MI,10,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017413,Ann Tumolo,"Mitchell, Paul",MI,10,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017414,Will Boyington,"Newhouse, Dan",WA,4,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017415,Patrick Thompson,"Wittman, Robert",VA,1,2017,"Gettysburg, PA",Original,5/11/2017,5/12/2017,The Heritage Foundation
500017416,Brian M. Kaveney,"Yoho, Ted",FL,3,2017,"Baltimore, MD",Original,5/11/2017,5/14/2017,The Congressional Institute
500017418,Jaryn Emhof,"Webster, Daniel",FL,11,2017,"Baltimore, MD",Original,5/12/2017,5/13/2017,The Congressional Institute
500017419,Robert B. Hamill,"Griffith, H.",VA,9,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017420,Kavontae Smalls,"Gaetz, Matt",FL,1,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017420,Kavontae Smalls,"Gaetz, Matt",FL,1,2017,"Washington, D.C.",Original,5/11/2017,5/13/2017,The Congressional Institute
500017421,Kelsey A. Griswold,"Blum, Rod",IA,1,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017422,Peter Stehouwer,"Long, Billy",MO,7,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017423,Heather Ham-Warren,"Gaetz, Matt",FL,1,2017,"Los Angeles, CA",Original,5/14/2017,5/16/2017,Internet Association
500017424,Daniel Tidwell,"Fleischmann, Charles",TN,3,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017425,Garrett Bess,"Buck, Ken",CO,4,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017426,Michael Lowry,"Wagner, Ann",MO,2,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017427,Emily Hytha,"Conaway, K.",TX,11,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017428,Matthew Russell,"Conaway, K.",TX,11,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017429,Jeffrey Beck,"Smith, Christopher",NJ,4,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017430,Jessica Paska,"Griffith, H.",VA,9,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017431,Tiffany Angulo,"Jordan, Jim",OH,4,2017,"Los Angeles, CA",Original,5/14/2017,5/16/2017,Internet Association
500017432,Gary Palmer,"Palmer, Gary",AL,6,2017,"New York, NY",Amendment,2/8/2017,2/11/2017,Heritage Foundation
500017433,David Russell,"Moolenaar, John",MI,4,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017434,Daniel M. Harder,"Bishop, Mike",MI,8,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017435,Maximillian T. Engling,"Harper, Gregg",MS,3,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
500017436,Michael Mansour,"Comstock, Barbara",VA,10,2017,"Baltimore, MD",Original,5/11/2017,5/13/2017,The Congressional Institute
