,Doc.ID,Filer.Name,Member.Name,State,District,Year,Destination,Filing.Type,Departure.Date,Return.Date,Travel.Sponsor
4310,500011498,John Sarbanes,"Sarbanes, John",MD,3,2014,"Boston, MA",Original,2014-04-04,2014-04-05,Harvard Law and Policy Review
4311,500011499,Raymond O'mara,"Sarbanes, John",MD,3,2014,"Boston, MA",Original,2014-04-04,2014-04-06,Harvard Law and Policy Review
4312,500011506,William Tighe,"Marino, Tom",PA,10,2014,"Las Vegas, NV",Original,2014-04-06,2014-04-08,National Association of Broadcasters
4313,500011507,Rachel Wolbers,"Farenthold, Blake",TX,27,2014,"Las Vegas, NV",Original,2014-04-06,2014-04-08,National Association of Broadcasters
4314,500011508,ZJ Hull,"Lofgren, Zoe",CA,19,2014,"New York, NY",Original,2014-04-10,2014-04-13,Association for Competitive Technology
4315,500011509,Brendan Belair,"Collins, Doug",GA,9,2014,"Las Vegas, NV",Original,2014-04-05,2014-04-08,National Association of Broadcasters
4316,500011510,Jennifer Lackey,"Collins, Doug",GA,9,2014,"Las Vegas, NV",Original,2014-04-05,2014-04-08,National Association of Broadcasters
4317,500011511,Christopher H. Smith,"Smith, Christopher",NJ,4,2014,"South Bend, IN",Original,2014-04-04,2014-04-06,University of Notre Dame Center for Ethics and Culture
4318,500011512,Karen Bass,"Bass, Karen",CA,37,2014,"New York, NY",Original,2014-03-30,2014-04-01,The Humpty Dumpty Institute and United Nations Foundation
4319,500011513,Rachel Wolbers,"Farenthold, Blake",TX,27,2014,"New York, NY",Original,2014-04-10,2014-04-11,Association for Competitive Technology
4320,500011514,Phil Barnett,"Waxman, Henry A.",CA,33,2014,"Cambridge, MA",Original,2014-04-11,2014-04-11,Harvard Law School Environmental Program
4321,500011515,Shawn H. Chang,"Waxman, Henry A.",CA,33,2014,"Las Vegas, NV",Original,2014-04-06,2014-04-07,National Association of Broadcasters
4322,500011516,Jason G. Everett,"Conyers, John",MI,13,2014,"New York, NY",Original,2014-04-10,2014-04-11,Association for Competitive Technology (ACT)
4323,500011517,Peter King,"King, Peter",NY,2,2014,"Boston, MA",Original,2014-04-15,2014-04-16,Harvard University Institute of Politics
4324,500011518,Veronica Wong,"Issa, Darrell",CA,49,2014,"Las Vegas, NV",Original,2014-04-06,2014-04-08,National Association of Broadcasters
4325,500011519,LeMia Jenkins,"Thompson, Bennie",MS,2,2014,"Las Vegas, NV",Original,2014-04-06,2014-04-08,National Association of Broadcasters
4326,500011520,Kelsey Guyselman,"Upton, Fred",MI,6,2014,"Las Vegas, NV",Original,2014-04-06,2014-04-08,National Association of Broadcasters
4327,500011521,Kelsey Guyselman,"Upton, Fred",MI,6,2014,"Cambridge, MD",Original,2014-04-11,2014-04-12,Telecommunications Industry Association
4328,500011522,David Redl,"Upton, Fred",MI,6,2014,"Las Vegas, NV",Original,2014-04-06,2014-04-08,National Association of Broadcasters
4329,500011523,Peter Roskam,"Roskam, Peter",IL,6,2014,"Tokyo, Japan",Original,2014-04-11,2014-04-18,Aspen Insitute Congressional Program
4330,500011524,Louise Slaughter,"Slaughter, Louise",NY,25,2014,"Boston, MA",Original,2014-04-10,2014-04-11,Radcliffe Institute for Advanced Study at Harvard University
4331,500011525,Grace Koh,"Upton, Fred",MI,6,2014,"Las Vegas, NV",Original,2014-04-06,2014-04-08,National Association of Broadcasters
4332,500011526,Joseph Russo,"Goodlatte, Bob",VA,6,2014,"Las Vegas, NV",Original,2014-04-06,2014-04-08,National Association of Broadcasters
4333,500011527,Matthew Keeley,"Goodlatte, Bob",VA,6,2014,"Las Vegas, NV",Original,2014-04-06,2014-04-08,National Association of Broadcasters
4334,500011531,Cristin Kumar,"Kline, John",MN,2,2014,"New York, NY",Original,2014-04-10,2014-04-11,Association for Competitive Technology
4335,500011532,Maxine Waters,"Waters, Maxine",CA,43,2014,"New York, NY",Original,2014-03-30,2014-04-01,The Humpty Dumpty Institute
4336,500011533,George Miller,"Miller, George",CA,11,2014,"Tokyo, Japan",Original,2014-04-11,2014-04-18,Aspen Institute Congressional Program
4337,500011538,Tom Borck,"Rokita, Todd",IN,4,2014,"Ankara, Turkey",Original,2014-04-11,2014-04-19,Turkic American Federation of Midwest
4338,500011538,Tom Borck,"Rokita, Todd",IN,4,2014,"Istanbul, Turkey",Original,2014-04-11,2014-04-19,Turkic American Federation of Midwest
4339,500011538,Tom Borck,"Rokita, Todd",IN,4,2014,"Izmir, Turkey",Original,2014-04-11,2014-04-19,Turkic American Federation of Midwest
4340,500011539,Earl Blumenauer,"Blumenauer, Earl",OR,3,2014,"Kyoto, Japan",Original,2014-04-11,2014-04-18,Aspen Institute Congressional Program
